Package         Version
--------------- -------
awscli          1.15.52
botocore        1.10.51
colorama        0.3.9  
docutils        0.14   
jmespath        0.9.3  
pip             10.0.1 
pyasn1          0.4.3  
python-dateutil 2.7.3  
PyYAML          3.12   
rsa             3.4.2  
s3transfer      0.1.13 
setuptools      39.2.0 
six             1.11.0 
wheel           0.31.1 
